Date,Hour,Leeds Jack Lane Hunslet Nitrogen Dioxide µg m-3 (20'C 1013mb)
01/01/2016,00:15,31
01/01/2016,00:30,31
01/01/2016,00:45,31
01/01/2016,01:00,25
01/01/2016,01:15,27
01/01/2016,01:30,33
01/01/2016,01:45,23
01/01/2016,02:00,27
01/01/2016,02:15,34
01/01/2016,02:30,36
01/01/2016,02:45,36
01/01/2016,03:00,38
01/01/2016,03:15,44
01/01/2016,03:30,50
01/01/2016,03:45,59
01/01/2016,04:00,59
01/01/2016,04:15,44
01/01/2016,04:30,48
01/01/2016,04:45,42
01/01/2016,05:00,38
01/01/2016,05:15,31
01/01/2016,05:30,44
01/01/2016,05:45,48
01/01/2016,06:00,52
01/01/2016,06:15,50
01/01/2016,06:30,46
01/01/2016,06:45,48
01/01/2016,07:00,44
01/01/2016,07:15,46
01/01/2016,07:30,42
01/01/2016,07:45,42
01/01/2016,08:00,38
01/01/2016,08:15,36
01/01/2016,08:30,34
01/01/2016,08:45,40
01/01/2016,09:00,42
01/01/2016,09:15,38
01/01/2016,09:30,42
01/01/2016,09:45,42
01/01/2016,10:00,34
01/01/2016,10:15,33
01/01/2016,10:30,36
01/01/2016,10:45,31
01/01/2016,11:00,33
01/01/2016,11:15,31
01/01/2016,11:30,31
01/01/2016,11:45,27
01/01/2016,12:00,27
01/01/2016,12:15,27
01/01/2016,12:30,25
01/01/2016,12:45,23
01/01/2016,13:00,23
01/01/2016,13:15,23
01/01/2016,13:30,25
01/01/2016,13:45,23
01/01/2016,14:00,23
01/01/2016,14:15,25
01/01/2016,14:30,25
01/01/2016,14:45,21
01/01/2016,15:00,25
01/01/2016,15:15,23
01/01/2016,15:30,19
01/01/2016,15:45,21
01/01/2016,16:00,21
01/01/2016,16:15,23
01/01/2016,16:30,19
01/01/2016,16:45,13
01/01/2016,17:00,17
01/01/2016,17:15,15
01/01/2016,17:30,15
01/01/2016,17:45,11
01/01/2016,18:00,11
01/01/2016,18:15,15
01/01/2016,18:30,13
01/01/2016,18:45,15
01/01/2016,19:00,15
01/01/2016,19:15,15
01/01/2016,19:30,15
01/01/2016,19:45,11
01/01/2016,20:00,15
01/01/2016,20:15,15
01/01/2016,20:30,15
01/01/2016,20:45,15
01/01/2016,21:00,11
01/01/2016,21:15,10
01/01/2016,21:30,10
01/01/2016,21:45,21
01/01/2016,22:00,19
01/01/2016,22:15,17
01/01/2016,22:30,8
01/01/2016,22:45,6
01/01/2016,23:00,10
01/01/2016,23:15,23
01/01/2016,23:30,15
01/01/2016,23:45,8
01/01/2016,24:00:00,6
02/01/2016,00:15,6
02/01/2016,00:30,6
02/01/2016,00:45,8
02/01/2016,01:00,19
02/01/2016,01:15,23
02/01/2016,01:30,11
02/01/2016,01:45,8
02/01/2016,02:00,6
02/01/2016,02:15,6
02/01/2016,02:30,6
02/01/2016,02:45,6
02/01/2016,03:00,6
02/01/2016,03:15,6
02/01/2016,03:30,4
02/01/2016,03:45,4
02/01/2016,04:00,6
02/01/2016,04:15,4
02/01/2016,04:30,4
02/01/2016,04:45,6
02/01/2016,05:00,4
02/01/2016,05:15,4
02/01/2016,05:30,6
02/01/2016,05:45,6
02/01/2016,06:00,6
02/01/2016,06:15,4
02/01/2016,06:30,6
02/01/2016,06:45,10
02/01/2016,07:00,10
02/01/2016,07:15,13
02/01/2016,07:30,13
02/01/2016,07:45,8
02/01/2016,08:00,8
02/01/2016,08:15,6
02/01/2016,08:30,8
02/01/2016,08:45,8
02/01/2016,09:00,10
02/01/2016,09:15,17
02/01/2016,09:30,19
02/01/2016,09:45,19
02/01/2016,10:00,21
02/01/2016,10:15,17
02/01/2016,10:30,21
02/01/2016,10:45,21
02/01/2016,11:00,15
02/01/2016,11:15,10
02/01/2016,11:30,15
02/01/2016,11:45,17
02/01/2016,12:00,17
02/01/2016,12:15,15
02/01/2016,12:30,13
02/01/2016,12:45,13
02/01/2016,13:00,15
02/01/2016,13:15,23
02/01/2016,13:30,29
02/01/2016,13:45,27
02/01/2016,14:00,25
02/01/2016,14:15,25
02/01/2016,14:30,27
02/01/2016,14:45,25
02/01/2016,15:00,25
02/01/2016,15:15,27
02/01/2016,15:30,23
02/01/2016,15:45,21
02/01/2016,16:00,21
02/01/2016,16:15,21
02/01/2016,16:30,19
02/01/2016,16:45,19
02/01/2016,17:00,19
02/01/2016,17:15,19
02/01/2016,17:30,17
02/01/2016,17:45,17
02/01/2016,18:00,19
02/01/2016,18:15,23
02/01/2016,18:30,21
02/01/2016,18:45,21
02/01/2016,19:00,21
02/01/2016,19:15,21
02/01/2016,19:30,21
02/01/2016,19:45,21
02/01/2016,20:00,19
02/01/2016,20:15,19
02/01/2016,20:30,19
02/01/2016,20:45,19
02/01/2016,21:00,19
02/01/2016,21:15,19
02/01/2016,21:30,17
02/01/2016,21:45,15
02/01/2016,22:00,17
02/01/2016,22:15,15
02/01/2016,22:30,17
02/01/2016,22:45,17
02/01/2016,23:00,17
02/01/2016,23:15,17
02/01/2016,23:30,17
02/01/2016,23:45,17
02/01/2016,24:00:00,15
03/01/2016,00:15,11
03/01/2016,00:30,11
03/01/2016,00:45,13
03/01/2016,01:00,11
03/01/2016,01:15,17
03/01/2016,01:30,23
03/01/2016,01:45,19
03/01/2016,02:00,42
03/01/2016,02:15,33
03/01/2016,02:30,15
03/01/2016,02:45,21
03/01/2016,03:00,15
03/01/2016,03:15,10
03/01/2016,03:30,13
03/01/2016,03:45,13
03/01/2016,04:00,10
03/01/2016,04:15,8
03/01/2016,04:30,8
03/01/2016,04:45,10
03/01/2016,05:00,11
03/01/2016,05:15,10
03/01/2016,05:30,8
03/01/2016,05:45,10
03/01/2016,06:00,17
03/01/2016,06:15,17
03/01/2016,06:30,21
03/01/2016,06:45,19
03/01/2016,07:00,21
03/01/2016,07:15,36
03/01/2016,07:30,33
03/01/2016,07:45,19
03/01/2016,08:00,15
03/01/2016,08:15,13
03/01/2016,08:30,15
03/01/2016,08:45,21
03/01/2016,09:00,33
03/01/2016,09:15,34
03/01/2016,09:30,44
03/01/2016,09:45,44
03/01/2016,10:00,38
03/01/2016,10:15,31
03/01/2016,10:30,31
03/01/2016,10:45,25
03/01/2016,11:00,23
03/01/2016,11:15,23
03/01/2016,11:30,23
03/01/2016,11:45,23
03/01/2016,12:00,25
03/01/2016,12:15,25
03/01/2016,12:30,23
03/01/2016,12:45,21
03/01/2016,13:00,23
03/01/2016,13:15,21
03/01/2016,13:30,19
03/01/2016,13:45,17
03/01/2016,14:00,19
03/01/2016,14:15,19
03/01/2016,14:30,19
03/01/2016,14:45,21
03/01/2016,15:00,17
03/01/2016,15:15,17
03/01/2016,15:30,25
03/01/2016,15:45,23
03/01/2016,16:00,19
03/01/2016,16:15,15
03/01/2016,16:30,17
03/01/2016,16:45,19
03/01/2016,17:00,23
03/01/2016,17:15,21
